               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.016971,            0.054218,           0.0083739,             0.97458,             0.96304,             0.97628,              0.8082,            0.018783,            0.051222,           0.0080632,            0.001882,            0.001882,            0.001882
                  84,            0.016999,            0.056533,           0.0083811,              0.9724,             0.96128,             0.97482,             0.80408,            0.019071,            0.051446,           0.0080767,            0.001783,            0.001783,            0.001783
                  85,            0.016841,            0.054956,           0.0081632,             0.97248,             0.96356,             0.97643,             0.81246,            0.018629,            0.051055,           0.0078827,            0.001684,            0.001684,            0.001684
                  86,            0.016663,            0.054237,           0.0081255,             0.97407,             0.96244,             0.97657,             0.81338,            0.018541,            0.050963,            0.007912,            0.001585,            0.001585,            0.001585
                  87,            0.016695,            0.055524,           0.0083829,             0.97365,             0.96472,             0.97645,             0.81313,            0.018571,            0.051205,           0.0078883,            0.001486,            0.001486,            0.001486
                  88,             0.01648,            0.053869,           0.0081189,             0.97378,              0.9628,             0.97701,             0.81671,            0.018415,            0.050916,           0.0077658,            0.001387,            0.001387,            0.001387
                  89,            0.016585,            0.054399,           0.0081202,             0.97479,             0.96443,             0.97691,             0.81515,             0.01852,            0.051037,           0.0078309,            0.001288,            0.001288,            0.001288
                  90,             0.01632,            0.053779,           0.0080373,             0.97775,             0.96159,             0.97803,             0.81626,            0.018488,             0.05086,           0.0077095,            0.001189,            0.001189,            0.001189
                  91,            0.016333,            0.054763,           0.0080952,             0.97413,             0.96151,             0.97743,             0.81518,            0.018464,            0.050943,           0.0077076,             0.00109,             0.00109,             0.00109
                  92,            0.016343,             0.05494,           0.0081322,             0.97456,             0.96366,             0.97762,             0.81469,             0.01845,            0.050912,           0.0077174,            0.000991,            0.000991,            0.000991
                  93,            0.016094,            0.053657,           0.0080034,             0.97413,             0.96277,             0.97706,             0.81308,            0.018554,            0.051419,           0.0076851,            0.000892,            0.000892,            0.000892
                  94,            0.015951,            0.052966,           0.0078932,             0.97422,             0.96244,              0.9768,             0.81029,            0.018622,            0.051986,           0.0076894,            0.000793,            0.000793,            0.000793
                  95,            0.016071,             0.05294,           0.0081183,             0.97519,             0.96163,             0.97685,               0.816,            0.018405,            0.051615,           0.0076635,            0.000694,            0.000694,            0.000694
                  96,            0.015914,            0.052912,           0.0079743,             0.97586,             0.96248,             0.97764,             0.81589,            0.018387,            0.051471,            0.007627,            0.000595,            0.000595,            0.000595
                  97,            0.016087,            0.054299,           0.0081257,             0.97488,              0.9622,              0.9768,             0.81417,             0.01847,            0.051669,           0.0076637,            0.000496,            0.000496,            0.000496
                  98,             0.01594,            0.052433,           0.0079183,              0.9739,              0.9633,             0.97754,             0.81369,            0.018436,            0.051699,           0.0076719,            0.000397,            0.000397,            0.000397
                  99,             0.01591,            0.051381,           0.0081874,             0.97418,             0.96367,             0.97666,             0.81426,            0.018385,            0.051674,           0.0076767,            0.000298,            0.000298,            0.000298
